Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestAddNewUser,Firefox 67.0,,,2019-08-14 02:31:47,2019-08-14 02:32:25,37.973s,INCOMPLETE
,,,,,,,
Test Cases/AddUser,Firefox 67.0,,,2019-08-14 02:31:47,2019-08-14 02:32:25,37.763s,PASSED
website.Helper.startApp(),Firefox 67.0,,,2019-08-14 02:31:47,2019-08-14 02:32:00,12.676s,PASSED
"website.Page_SignIn.login(username, password)",Firefox 67.0,,,2019-08-14 02:32:00,2019-08-14 02:32:07,6.609s,PASSED
website.SidePanel.selectOptionUsers(),Firefox 67.0,,,2019-08-14 02:32:07,2019-08-14 02:32:08,1.218s,PASSED
website.Page_Users.clickAddButton(),Firefox 67.0,,,2019-08-14 02:32:08,2019-08-14 02:32:18,10.327s,PASSED
"website.Page_AddUser.enterData(employee, newUsername, role, supervisor, adminRole, status, newPassword, confirmPassword)",Firefox 67.0,,,2019-08-14 02:32:18,2019-08-14 02:32:24,5.369s,PASSED
website.Page_Users.verifyNewUserAdded(newUsername),Firefox 67.0,,,2019-08-14 02:32:24,2019-08-14 02:32:25,1.176s,PASSED
